id,enabled,universe,start_addr,pan_coarse,pan_fine,tilt_coarse,tilt_fine,dimmer,zoom,zoom_fine,color_temp_channel,color_temp_value,invert_pan,invert_tilt,pan_bias,tilt_bias,status_led
700,True,2,274,1,2,3,4,26,23,24,11,0,False,False,0,0,1
701,True,2,329,1,2,3,4,26,23,24,11,0,False,False,0,0,2
